threshold,macro_f1,pathogenic_f1,benign_f1,pathogenic_precision,pathogenic_recall,benign_precision,benign_recall,balanced_accuracy,tn,fp,fn,tp,pr_auc,roc_auc,dataset,fold,train_rows,valid_rows
0.5,0.7674545831839876,0.8791714614499425,0.6557377049180327,0.8701594533029613,0.8883720930232558,0.6756756756756757,0.6369426751592356,0.7626573840912457,100,57,48,382,0.9305166402480416,0.8544808176566434,MASTER,1,2344,587
0.5,0.7333240775021597,0.865296803652968,0.6013513513513513,0.8497757847533632,0.8813953488372093,0.6357142857142857,0.5705128205128205,0.7259540846750149,89,67,51,379,0.917754074834056,0.8326475849731663,MASTER,2,2345,586
0.5,0.7600088549449333,0.8701754385964913,0.6498422712933754,0.8752941176470588,0.8651162790697674,0.639751552795031,0.6602564102564102,0.7626863446630888,103,53,58,372,0.9220907790103545,0.8350924269528921,MASTER,3,2345,586
0.5,0.7902914862914863,0.8937142857142857,0.6868686868686869,0.8786516853932584,0.9093023255813953,0.723404255319149,0.6538461538461539,0.7815742397137746,102,54,39,391,0.9301614143019556,0.86340190816935,MASTER,4,2345,586
0.5,0.7625535168195718,0.8784403669724771,0.6466666666666666,0.8645598194130926,0.8927738927738927,0.6783216783216783,0.6178343949044586,0.7553041438391757,97,60,46,383,0.9294827125507715,0.8528053687289355,MASTER,5,2345,586
0.5,0.7531118209409919,0.8725602755453502,0.6336633663366337,0.8616780045351474,0.8837209302325582,0.6575342465753424,0.6114649681528662,0.7475929491927122,96,61,50,380,0.9326310121660244,0.8487187083395052,MASTER,6,2344,587
0.5,0.7761794013651748,0.8835063437139562,0.6688524590163935,0.8764302059496567,0.8906976744186047,0.6845637583892618,0.6538461538461539,0.7722719141323793,102,54,47,383,0.936545530855745,0.8655038759689923,MASTER,7,2345,586
0.5,0.7593634264639797,0.8792710706150342,0.6394557823129252,0.8616071428571429,0.8976744186046511,0.6811594202898551,0.6025641025641025,0.7501192605843768,94,62,44,386,0.928452268434985,0.8477787716159809,MASTER,8,2345,586
0.5,0.7753878066378066,0.8819444444444444,0.6688311688311688,0.8778801843317973,0.8860465116279069,0.6776315789473685,0.6602564102564102,0.7731514609421586,103,53,49,381,0.9293315783613647,0.8660405485986882,MASTER,9,2345,586
0.5,0.7638831880401423,0.8763005780346821,0.6514657980456026,0.8692660550458715,0.8834498834498834,0.6666666666666666,0.6369426751592356,0.7601962793045596,100,57,50,379,0.9219001466561085,0.8397695722536487,MASTER,10,2345,586
0.5,0.7667211541345491,0.8775981524249422,0.6558441558441559,0.8715596330275229,0.8837209302325582,0.6688741721854304,0.643312101910828,0.763516516071693,101,56,50,380,0.9338990522440622,0.8611761220559917,MASTER,11,2344,587
0.5,0.7764145876164545,0.8798133022170361,0.6730158730158731,0.882903981264637,0.8767441860465116,0.6666666666666666,0.6794871794871795,0.7781156827668456,106,50,53,377,0.9276082113538258,0.8557692307692308,MASTER,12,2345,586
0.5,0.76670080977137,0.8825541619156214,0.6508474576271186,0.8657718120805369,0.9,0.6906474820143885,0.6153846153846154,0.7576923076923077,96,60,43,387,0.9236778329254081,0.8419797257006558,MASTER,13,2345,586
