dataset,threshold,macro_f1,pathogenic_f1,benign_f1,pathogenic_precision,pathogenic_recall,benign_precision,benign_recall,balanced_accuracy,tn,fp,fn,tp,pr_auc,roc_auc
MASTER,0.05,0.4455882062425919,0.8486764124851838,0.0425,0.737384140061792,0.9995346672871103,0.9444444444444444,0.021739130434782608,0.5106368988609464,17,765,1,2148,0.9290314571919185,0.8528293062020162
MASTER,0.06,0.46217199406581344,0.8506339144215531,0.07371007371007371,0.74060020696792,0.9990693345742205,0.9375,0.03836317135549872,0.5187162529648597,30,752,2,2147,0.9290314571919185,0.8528293062020162
MASTER,0.07,0.4893796278490605,0.8543573418225229,0.12440191387559808,0.7462634688912061,0.9990693345742205,0.9629629629629629,0.06649616368286446,0.5327827491285425,52,730,2,2147,0.9290314571919185,0.8528293062020162
MASTER,0.08,0.5079399892256699,0.856629392971246,0.1592505854800937,0.7502623294858342,0.9981386691484412,0.9444444444444444,0.08695652173913043,0.5425475954437858,68,714,4,2145,0.9290314571919185,0.8528293062020162
MASTER,0.09,0.5313719951187656,0.8597793380140422,0.20296465222348917,0.7556417489421721,0.9972080037226617,0.9368421052631579,0.11381074168797954,0.5555093727053206,89,693,6,2143,0.9290314571919185,0.8528293062020162
MASTER,0.09999999999999999,0.5550141072148327,0.8633615477629988,0.24666666666666667,0.761464628510487,0.996742671009772,0.940677966101695,0.14194373401534527,0.5693432025125587,111,671,7,2142,0.9290314571919185,0.8528293062020162
MASTER,0.10999999999999999,0.5742616292446306,0.8662214126695001,0.28230184581976114,0.7664756446991404,0.9958120055839925,0.935251798561151,0.16624040920716113,0.5810262073955769,130,652,9,2140,0.9290314571919185,0.8528293062020162
MASTER,0.12,0.5858071154361703,0.867870915364319,0.3037433155080214,0.769618430525558,0.9948813401582132,0.9281045751633987,0.1815856777493606,0.5882335089537869,142,640,11,2138,0.9290314571919185,0.8528293062020162
MASTER,0.13,0.5996583785013158,0.8698309227948666,0.32948583420776495,0.7735507246376812,0.993485342019544,0.9181286549707602,0.20076726342711,0.597126302723327,157,625,14,2135,0.9290314571919185,0.8528293062020162
MASTER,0.13999999999999999,0.6130396505824923,0.8718053567777551,0.35427394438722964,0.7775346462436178,0.9920893438808748,0.91005291005291,0.21994884910485935,0.6060190964928671,172,610,17,2132,0.9290314571919185,0.8528293062020162
MASTER,0.14999999999999997,0.6259770672555094,0.8737943771803817,0.378159757330637,0.7815712187958884,0.9906933457422057,0.9033816425120773,0.2391304347826087,0.6149118902624072,187,595,20,2129,0.9290314571919185,0.8528293062020162
MASTER,0.15999999999999998,0.6381800969254616,0.8755665430572723,0.4007936507936508,0.7855822550831792,0.9888320148906468,0.8938053097345132,0.25831202046035806,0.6235720176755024,202,580,24,2125,0.9290314571919185,0.8528293062020162
MASTER,0.16999999999999998,0.6486721578346333,0.8777364725320116,0.4196078431372549,0.7890828072781285,0.9888320148906468,0.8991596638655462,0.27365728900255754,0.6312446519466022,214,568,24,2125,0.9290314571919185,0.8528293062020162
MASTER,0.18,0.6616711720779532,0.8801824212271974,0.44315992292870904,0.7936448598130841,0.9879013494648674,0.8984375,0.29411764705882354,0.6410094982618455,230,552,26,2123,0.9290314571919185,0.8528293062020162
MASTER,0.19,0.6721528343201347,0.8823284823284824,0.4619771863117871,0.7974445697106352,0.9874360167519777,0.9,0.31074168797953966,0.6490888523657586,243,539,27,2122,0.9290314571919185,0.8528293062020162
MASTER,0.19999999999999996,0.681929265640132,0.8845352230095873,0.4793233082706767,0.8010570026425066,0.9874360167519777,0.9042553191489362,0.32608695652173914,0.6567614866368584,255,527,27,2122,0.9290314571919185,0.8528293062020162
MASTER,0.20999999999999996,0.6931906109230939,0.8868437565362894,0.49953746530989823,0.8054711246200608,0.9865053513261982,0.903010033444816,0.3452685421994885,0.6658869467628433,270,512,29,2120,0.9290314571919185,0.8528293062020162
MASTER,0.21999999999999997,0.6980447258013738,0.8873977773118054,0.5086916742909423,0.8076335877862595,0.9846440204746394,0.8938906752411575,0.3554987212276215,0.6700713708511304,278,504,33,2116,0.9290314571919185,0.8528293062020162
MASTER,0.22999999999999998,0.7023229353594747,0.8882822343553128,0.5163636363636364,0.8094144661308841,0.9841786877617497,0.8930817610062893,0.3631713554987212,0.6736750216302354,284,498,34,2115,0.9290314571919185,0.8528293062020162
MASTER,0.24,0.7069598869453055,0.8891226593730276,0.5247971145175834,0.8114439324116743,0.9832480223359702,0.8899082568807339,0.3721227621483376,0.677685392242154,291,491,36,2113,0.9290314571919185,0.8528293062020162
MASTER,0.24999999999999994,0.7100285922723832,0.889591234723978,0.5304659498207885,0.8128609934539853,0.9823173569101907,0.8862275449101796,0.37851662404092073,0.6804169904755557,296,486,38,2111,0.9290314571919185,0.8528293062020162
MASTER,0.25999999999999995,0.7115305426758818,0.8899662731871838,0.5330948121645797,0.8134874759152215,0.9823173569101907,0.8869047619047619,0.38107416879795397,0.6816957628540723,298,484,38,2111,0.9290314571919185,0.8528293062020162
MASTER,0.26999999999999996,0.7157060462988349,0.8902980342422321,0.5411140583554377,0.8156467854376452,0.9799906933457422,0.8767908309455588,0.391304347826087,0.6856475205859146,306,476,43,2106,0.9290314571919185,0.8528293062020162
MASTER,0.27999999999999997,0.7172445011724895,0.8898305084745762,0.5446584938704028,0.8168028004667445,0.9771986970684039,0.8638888888888889,0.3976982097186701,0.687448453393537,311,471,49,2100,0.9290314571919185,0.8528293062020162
MASTER,0.29,0.7212559671903557,0.8907277742414598,0.5517841601392516,0.8186427457098284,0.9767333643555142,0.8637602179836512,0.4053708439897698,0.691052104172642,317,465,50,2099,0.9290314571919185,0.8528293062020162
MASTER,0.3,0.726295455377742,0.8914893617021277,0.5611015490533563,0.8212465699725597,0.9748720335039553,0.8578947368421053,0.41687979539641945,0.6958759144501874,326,456,54,2095,0.9290314571919185,0.8528293062020162
MASTER,0.30999999999999994,0.7337022566099257,0.8930629669156883,0.5743415463041631,0.8249211356466877,0.9734760353652862,0.8556962025316456,0.4322250639386189,0.7028505496519526,338,444,57,2092,0.9290314571919185,0.8528293062020162
MASTER,0.31999999999999995,0.734377410907336,0.8929715872676779,0.5757832345469941,0.825434439178515,0.9725453699395068,0.8521303258145363,0.43478260869565216,0.7036639893175795,340,442,59,2090,0.9290314571919185,0.8528293062020162
MASTER,0.32999999999999996,0.736043770798652,0.892742453436095,0.5793450881612091,0.8267248215701823,0.9702187063750581,0.843520782396088,0.4411764705882353,0.7056975884816468,345,437,64,2085,0.9290314571919185,0.8528293062020162
MASTER,0.33999999999999997,0.7376424513108588,0.8922284242164019,0.5830564784053156,0.8282184137106416,0.9669613773848301,0.8317535545023697,0.44884910485933505,0.7079052411220825,351,431,71,2078,0.9290314571919185,0.8528293062020162
MASTER,0.3499999999999999,0.7405981659378753,0.8923805424020663,0.5888157894736842,0.8301962354825791,0.9646347138203816,0.8248847926267281,0.4578005115089514,0.7112176126646665,358,424,76,2073,0.9290314571919185,0.8528293062020162
MASTER,0.35999999999999993,0.7467679515108778,0.8932122784262863,0.6003236245954693,0.8340734759790068,0.9613773848301536,0.8171806167400881,0.4744245524296675,0.7179009686299105,371,411,83,2066,0.9290314571919185,0.8528293062020162
MASTER,0.36999999999999994,0.751604648061085,0.894234937147811,0.6089743589743589,0.8369168356997971,0.9599813866914844,0.8154506437768241,0.4859335038363171,0.7229574452639007,380,402,86,2063,0.9290314571919185,0.8528293062020162
MASTER,0.37999999999999995,0.7547846757621601,0.8949196699956579,0.6146496815286624,0.8388278388278388,0.959050721265705,0.8143459915611815,0.4936061381074169,0.726328429686561,386,396,88,2061,0.9290314571919185,0.8528293062020162
MASTER,0.38999999999999996,0.7524307613245522,0.8907857299190195,0.6140757927300851,0.8409090909090909,0.9469520707305723,0.776908023483366,0.5076726342710998,0.727312352500836,397,385,114,2035,0.9290314571919185,0.8528293062020162
MASTER,0.3999999999999999,0.7476769565747161,0.8851590106007067,0.6101949025487257,0.8423707440100883,0.9325267566309912,0.7373188405797102,0.520460358056266,0.7264935573436286,407,375,145,2004,0.9290314571919185,0.8528293062020162
